Acanthonchus_sp1;Amphimonhystrella_sp1;Anoplostoma_sp1;Bathylaimus_sp1;Calyptronema_sp1;Chromadora_sp1;Comesoma_sp1;Cyatholaimus_sp1;Daptonema_sp1;Desmocolex_sp1;Desmodora_sp1;Dichromadora_sp1;Dorylaimopsis_sp1;Halalaimus_sp1;Halichoanolaimus_sp1;Hofmaenneria_sp1;Hypodontolaimus_sp1;Leptolaimus_sp1;Linhomoeus_sp1;Marylinia_sp1;Metacyatholaimus_sp1;Metalinhomoeus_sp1;Microlaimus_sp1;Microlaimus_sp2;Morphotype_sp1;Nemanema_sp1;Oxystomina_sp1;Paracanthonchus_sp1;Paralongicyatholaimus_sp1;Paramesonchium_sp1;Paramonhystera_sp1;Pseudosteineria_sp1;Ptycholaimellus_sp1;Quadricoma_sp1;Rhips_sp1;Sabatieria_sp1;Sphaerotheristus_sp1;Steineria_sp1;Stylotheristus_sp1;Terschellingia_sp1;Trefusia_sp1;Trissonchulus_sp1;Viscosia_sp1
1;31;17;4;3;1;1;0;2;2;2;2;28;1;6;9;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;15;2;0;0;0;7;0;2;0;3;4
0;31;10;12;0;0;1;0;0;0;1;1;20;0;13;8;5;1;0;1;0;0;2;0;0;0;0;1;0;0;0;2;22;0;1;1;1;9;0;2;1;3;6
0;60;2;11;0;0;0;0;2;1;1;1;37;4;7;13;0;3;1;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;1;1;5;6;1;0;1;7
0;53;3;5;0;0;0;0;7;0;1;0;19;1;10;17;2;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;2;1;7;7;4;0;0;5
0;48;5;6;0;0;2;0;3;0;0;0;39;1;9;10;1;6;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;7;1;1;0;0;5
1;40;0;7;1;0;1;1;5;1;1;0;23;1;9;8;0;6;0;0;0;0;0;0;0;0;0;0;0;1;0;1;3;0;0;1;0;4;0;1;0;0;4
0;50;4;4;0;0;0;0;4;0;1;0;15;1;7;21;2;7;1;0;0;0;1;3;0;0;0;3;0;0;0;0;2;0;0;5;3;8;0;0;0;0;8
0;62;2;6;0;0;1;0;9;0;3;0;24;0;7;14;1;4;1;0;0;1;0;3;0;0;0;0;0;0;0;0;2;0;0;5;0;11;2;2;0;0;3
0;24;2;1;0;0;0;0;5;0;0;1;18;3;7;10;0;7;0;0;0;0;2;1;0;1;0;0;0;0;1;0;0;0;0;0;2;6;2;2;0;0;13
0;35;3;5;0;0;0;0;1;0;1;2;17;0;11;6;0;4;0;0;0;0;1;0;1;0;0;1;0;0;0;0;3;0;0;1;0;7;0;1;0;0;6
0;42;2;5;0;0;0;0;2;1;2;0;15;1;17;8;0;1;0;0;0;0;2;0;0;0;0;1;0;0;0;2;5;0;0;1;1;5;0;0;0;0;4
0;45;4;0;0;0;0;0;10;1;0;2;23;0;4;6;0;6;0;0;0;0;2;1;0;0;0;2;1;0;0;0;4;0;0;3;2;9;3;1;0;0;5
0;45;1;4;1;0;1;0;4;2;0;1;22;1;8;15;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;3;0;0;3;0;8;0;0;0;0;6
0;55;3;4;0;0;1;0;1;0;0;4;16;0;15;15;1;4;1;0;0;0;4;0;0;0;0;1;1;0;0;0;4;0;0;2;3;3;1;1;0;0;5
0;47;1;8;0;0;0;0;2;0;1;1;34;0;12;9;0;4;2;0;0;0;3;0;0;0;0;1;1;0;0;0;1;1;0;0;2;6;1;2;0;0;12
0;18;1;3;0;0;1;0;4;0;1;1;22;0;15;7;8;4;0;0;0;0;2;0;0;0;0;2;0;0;0;0;1;0;0;1;0;5;0;1;1;0;6
0;45;0;8;0;0;0;0;4;0;0;0;26;0;13;4;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;11;0;0;0;0;4;1;0;1;0;8
